No,URL,Tanggal_up,Bujur,Lintang,Lokasi Kejadian,Kategori,,,,,,,,,,,,,,,
34,https://www.espos.id/tag/polsek-umbulharjo,2021-08-26,110.3454656,-7.8152551,Umbulharjo,Klitih,,,,,,,,,,,,,,,
35,https://jogja.idntimes.com/news/jogja/tunggul-damarjati/pelaku-klitih-tewaskan-pelajar-ngaku-korban-salah-tangkap?utm_source=chatgpt.com,2022-6-28,110.3995595,-7.8113361,"Gedongkuning, Kotagede",Klitih,,,,,,,,,,,,,,,
36,https://www.suara.com/news/2022/01/02/084315/klitih-kembali-teror-warga-yogyakarta-pemuda-jadi-korban-pembacokan?utm_source=chatgpt.com,2022-01-02,110.3668117,-7.7926923,"Kecamatan Danurejan, Kota Yogyakarta",Klitih,,,,,,,,,,,,,,,
37,https://www.youtube.com/watch?v=6FmtzQ7_IPo&utm_source=chatgpt.com,2022-02-07,110.367631,-7.801324,Gondomanan,Klitih,,,,,,,,,,,,,,,
38,https://www.krjogja.com/yogyakarta/1242459763/pelaku-curanmor-ditangkap-sempat-dorong-motor-curian-sejauh-5-km,2022-11-07,110.3622107,-7.786428,Gondokusuman,Klitih,,,,,,,,,,,,,,,
39,https://yogyakarta.kompas.com/read/2022/04/11/151500878/pelaku-penyerangan-yang-tewaskan-anak-anggota-dprd-kebumen-ada-yang,2022-04-11,110.3995595,-7.8113361,Kotagede,Klitih,,,,,,,,,,,,,,,
40,https://news.okezone.com/read/2023/03/24/510/2786735/klitih-terjadi-saat-ramadhan-di-yogyakarta-korban-seorang-pelajar?utm_source=chatgpt.com,2023-03-24,110.3549897,-7.7859238,"Jalan Tentara Rakyat Mataram, Jetis",Klitih,,,,,,,,,,,,,,,
42,https://jogja.suara.com/read/2023/10/01/140000/klitih-di-kota-jogja-satu-orang-luka-polisi-dalami-identitas-pelaku?utm_source=chatgpt.com,2023-10-01,110.3421526,-7.8460639,"Jalan Bantul, Mantrijeron",Klitih,,,,,,,,,,,,,,,
43,https://jogja.polri.go.id/polda/tribrata-news/online/detail/polda-diy-berhasil-meringkus-tersangka-pencurian-dengan-pemberatan-atas-laptop-jaksa-penuntut-komisi-pemberantasan-korupsi--kpk-.html,2022-12-24,110.3500539,-7.8028914,Wirobrajan,Klitih,,,,,,,,,,,,,,,
44,https://kumparan.com/tugujogja/angka-kriminalitas-di-kota-yogyakarta-meningkat-selama-2022-1zWQPgOGDCk?utm_source=chatgpt.com,2023-05-27,110.3888633,-7.8020861,"Jalan Kusumanegara, Umbulharjo",Klitih,,,,,,,,,,,,,,,
45,https://jogja.suara.com/read/2023/10/01/140000/klitih-di-kota-jogja-satu-orang-luka-polisi-dalami-identitas-pelaku?utm_source=chatgpt.com,2023-10-01,110.3421526,-7.8460639,"Jalan Bantul, Gedongkiwo, Mantrijeron",Klitih,,,,,,,,,,,,,,,
48,https://www.polresjogja.com/2022/01/konferensi-pers-polsek-umbulharjo.html?utm_source=chatgpt.com,2022-01-12,110.393103,-7.809574,"Jalan Veteran, Umbulharjo",Klitih,,,,,,,,,,,,,,,
49,https://www.benggala.com/2023/08/korban-sempat-diteriaki-klitih-polisi.html?utm_source=chatgpt.com,2023-07-09,110.3583665,-7.7863631,Selatan Tugu Yogyakarta,Klitih,,,,,,,,,,,,,,,
50,https://bacajogja.id/2023/03/26/kronologi-klitih-bumijo-yogyakarta-polisi-tangkap-15-pelaku/?utm_source=chatgpt.com,2023-03-26,110.360645,-7.783339,"Bumijo, Jetis",Klitih,,,,,,,,,,,,,,,
51,https://www.benggala.com/2021/11/pencuri-laptop-diamankan-polsek.html?utm_source,2021-11-21,-7.7864,110.3724677,Gondokusuman,Curanmor,,,,,,,,,,,,,,,
52,https://jogja.suara.com/read/2021/09/09/160000/uang-jutaan-digasak-dari-kotak-infak-masjid-di-jogja-pelaku-rusak-gembok-dengan-rapi?utm_source,2021-09-09,-7.817581,110.3761801,Umbulharjo,Curanmor,,,,,,,,,,,,,,,
53,https://www.polresjogja.com/2021/04/konferensi-pers-ungkap-kasus-curanmor.html?utm_source,2021-04-29,-7.8174348,110.3492952,Mantrijeron,Curanmor,,,,,,,,,,,,,,,
54,https://www.polresjogja.com/2021/06/berikan-rasa-aman-polsek-umbulharjo.html?utm_source,2021-06-04,-7.8009142,110.3861063,Umbulharjo,Curanmor,,,,,,,,,,,,,,,
55,https://jogja.suara.com/read/2022/08/24/130241/nekat-gasak-motor-mantan-teman-kos-pemuda-di-jogja-dicokok-polisi?utm_source,2022-08-24,-7.8152566,110.3659804,Umbulharjo,Curanmor,,,,,,,,,,,,,,,
56,https://jogja.suara.com/read/2022/02/15/164829/tak-hanya-aksi-pencurian-motor-pelaku-kbp-juga-terlibat-transaksi-narkoba-di-kota-jogja?utm_source,2022-02-15,-7.8020895,110.362267,Gondokusuman,Curanmor,,,,,,,,,,,,,,,
57,gatra.com/news-564275-hukum-gampangnya-maling-motor-di-yogyakarta-sindikat-lampung-sikat-30-motor-dalam-sebulan.html?utm_source,2023-02-02,-7.8178415,110.3770438,Kotagede,Curanmor,,,,,,,,,,,,,,,
58,https://rejogja.republika.co.id/berita/rdrukk399/dua-pelaku-curanmor-bermodus-cari-kos-diringkus-polisi,2022-09-06,-7.8229273,110.3705578,Umbulharjo,Curanmor,,,,,,,,,,,,,,,
59,https://rejogja.republika.co.id/berita/s0ug1u399/niat-bantu-tagih-utang-teman-pria-di-yogya-nekat-mencuri-dan-rusak-kaca-mobil,2023-08-24,-7.7996334,110.3652702,Gondomanan,Curanmor,,,,,,,,,,,,,,,
60,https://jogja.jpnn.com/kriminal/6175/terlilit-utang-dengan-rentenir-residivis-ini-menggondol-tas-berisi-uang-di-kota-jogja,2023-01-13,-7.7932901,110.3696069,Danurejan,Curanmor,,,,,,,,,,,,,,,
61,https://jogja.tribunnews.com/2023/09/25/ingin-punya-sepeda-motor-mantan-karyawan-nekat-curi-motor-majikan-rumah-makan-di-umbulharjo,2023-09-15,-7.816315,110.387145,Umbulharjo,Curanmor,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
